Unnamed: 0.1,Unnamed: 0,ID,COUN,COUN_MAP,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,Field1,SIT,SEX_MAP,RELI_MAP,PRAC_MAP,FOCC_MAP,MOCC_MAP,FIEL_MAP,COUN_MAP.1,model_completion
0,0,1,1,sweden,1,33,1,2,6.0,1.0,2.0,1.0,joy,"During the period of falling in love, each time that we met and especially when we had not met for a long time.",male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Joy.
1,1,2,1,sweden,1,33,1,2,6.0,1.0,2.0,2.0,fear,When I was involved in a traffic accident.,male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Compassion
2,2,3,1,sweden,1,33,1,2,6.0,1.0,2.0,3.0,anger,"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.",male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Patience
3,3,4,1,sweden,1,33,1,2,6.0,1.0,2.0,4.0,sadness,When I lost the person who meant the most to me. ,male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Grief.
4,4,5,1,sweden,1,33,1,2,6.0,1.0,2.0,5.0,disgust,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.",male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Compassion.
5,5,6,1,sweden,1,33,1,2,6.0,1.0,2.0,6.0,shame,When I did not speak the truth.,male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Regret
6,6,7,1,sweden,1,33,1,2,6.0,1.0,2.0,7.0,guilt,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,male,protestant,not practising,white collar nonacademic,housewife,social sciences,sweden,Compassion
7,7,8,1,sweden,2,23,0,0,7.0,5.0,2.0,1.0,joy,When I got a letter offering me the Summer job that I had applied for.  ,female,,,white collar academic,blue collar trained,social sciences,sweden,Gratitude.
8,8,9,1,sweden,2,23,0,0,7.0,5.0,2.0,2.0,fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,female,,,white collar academic,blue collar trained,social sciences,sweden,Mindfulness
9,9,10,1,sweden,2,23,0,0,7.0,5.0,2.0,3.0,anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,female,,,white collar academic,blue collar trained,social sciences,sweden,Disappointment.
10,10,11,1,sweden,2,23,0,0,7.0,5.0,2.0,4.0,sadness,When my friends did not ask me to go to a New Year's party with them.,female,,,white collar academic,blue collar trained,social sciences,sweden,Compassion.
11,11,12,1,sweden,2,23,0,0,7.0,5.0,2.0,5.0,disgust,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,female,,,white collar academic,blue collar trained,social sciences,sweden,Compassion
12,12,13,1,sweden,2,23,0,0,7.0,5.0,2.0,6.0,shame,When I could not remember what to say about a presentation task at an accounts meeting.,female,,,white collar academic,blue collar trained,social sciences,sweden,Mindfulness
13,13,14,1,sweden,2,23,0,0,7.0,5.0,2.0,7.0,guilt,When my uncle and my neighbour came home under police escort.,female,,,white collar academic,blue collar trained,social sciences,sweden,Compassion
14,14,15,1,sweden,2,22,8,2,4.0,6.0,2.0,1.0,joy,On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.,female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Contentment
15,15,16,1,sweden,2,22,8,2,4.0,6.0,2.0,2.0,fear,"Every time I imagine that someone I love or I could contact a serious illness, even death.",female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Compassion
16,16,17,1,sweden,2,22,8,2,4.0,6.0,2.0,3.0,anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Compassion.
17,17,18,1,sweden,2,22,8,2,4.0,6.0,2.0,4.0,sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Regret
18,18,19,1,sweden,2,22,8,2,4.0,6.0,2.0,5.0,disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Compassion
19,19,20,1,sweden,2,22,8,2,4.0,6.0,2.0,6.0,shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Regret
20,20,21,1,sweden,2,22,8,2,4.0,6.0,2.0,7.0,guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,female,areligious,not practising,blue collar untrained,white collar nonacademic,social sciences,sweden,Regret
21,21,22,1,sweden,1,23,8,2,6.0,4.0,2.0,1.0,joy,After my girlfriend had taken her exam we went to her parent's place.,male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Contentment
22,22,23,1,sweden,1,23,8,2,6.0,4.0,2.0,2.0,fear,"When, for the first time I realized the meaning of death.",male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Impermanence
23,23,24,1,sweden,1,23,8,2,6.0,4.0,2.0,3.0,anger,When a car is overtaking another and I am forced to drive off the road.,male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Mindfulness
24,24,25,1,sweden,1,23,8,2,6.0,4.0,2.0,4.0,sadness,"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.",male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Frustration
25,25,26,1,sweden,1,23,8,2,6.0,4.0,2.0,5.0,disgust,When I found a bristle in the liver paste tube.,male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Mindfulness
26,26,27,1,sweden,1,23,8,2,6.0,4.0,2.0,6.0,shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Regret
27,27,28,1,sweden,1,23,8,2,6.0,4.0,2.0,7.0,guilt,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,male,areligious,not practising,white collar nonacademic,blue collar untrained,social sciences,sweden,Regret
